cep,latitude,longitude,ano_2015,ano_2016,ano_2017,ano_2018,ano_2019,ano_2020,ano_2021,ano_2022,ano_2023,ano_2024,media,maximo,minimo,soma,tendencia,casos_previstos_2026,risco_2026
19914400,-22.96608416953333,-49.86044436346667,0,0,0,0,0,1,4,0,5,5,1.5,5,0,15,5,7.507181418555774,MEDIO
19906290,-22.989177417857142,-49.88651871785714,0,0,0,1,1,0,2,1,2,4,1.1,4,0,11,4,7.501540656046018,MEDIO
19915550,-22.96109706385582,-49.85874525069444,0,0,0,0,0,0,0,1,6,4,1.1,6,0,11,4,7.480122027960533,MEDIO
19910065,-22.96311700177778,-49.88567448133333,0,0,0,0,1,0,1,1,1,7,1.1,7,0,11,7,7.474809451749024,MEDIO
19908110,-22.97542252986111,-49.90681883194444,0,0,0,2,0,0,4,5,4,4,1.9,5,0,19,4,7.434147218673388,MEDIO
19906497,-22.979873992380952,-49.88582835619047,0,0,0,1,1,0,1,2,5,3,1.3,5,0,13,3,7.411324258324385,MEDIO
19901090,-22.98957635656463,-49.85324298051021,1,0,0,0,4,0,1,1,5,3,1.5,5,0,15,2,7.402146703750986,MEDIO
19912090,-22.97715967404762,-49.86389040107143,0,0,0,2,2,0,0,3,4,4,1.5,4,0,15,4,7.390436903246154,MEDIO
19905102,-23.001800001447467,-49.88123278011282,0,0,0,1,2,0,4,1,16,10,3.4,16,0,34,10,7.323860059259459,MEDIO
19907010,-22.978857035716374,-49.87979747625732,0,0,0,0,1,0,2,5,3,5,1.6,5,0,16,5,7.321818290998635,MEDIO
19913489,-22.97846285,-49.85012895104167,0,0,0,0,3,0,1,0,0,9,1.3,9,0,13,9,7.316263051150599,MEDIO
19906495,-22.980743245510205,-49.88464121122449,1,0,0,0,1,0,2,2,8,5,1.9,8,0,19,4,7.280801168684775,MEDIO
19913160,-22.981842175034885,-49.85527483293651,0,0,0,0,2,0,1,1,3,10,1.7,10,0,17,10,7.2725131339539075,MEDIO
19915660,-22.953200992,-49.859683888,0,0,0,0,1,0,0,1,1,5,0.8,5,0,8,5,7.251466121828344,MEDIO
19915702,-22.957453332777774,-49.85420490166667,0,0,0,0,0,0,0,1,2,5,0.8,5,0,8,5,7.24311119025333,MEDIO
19903304,-22.998865934545456,-49.78608571136364,0,0,0,0,0,0,1,2,9,2,1.4,9,0,14,2,7.241884858724006,MEDIO
19911141,-22.9643921,-49.8766353,0,0,0,0,2,2,1,0,1,5,1.1,5,0,11,5,7.23765626173099,MEDIO
19913110,-22.987437090980396,-49.85375005583334,0,0,0,0,0,0,0,2,3,8,1.3,8,0,13,8,7.2310080226016,MEDIO
19911090,-22.969381654761907,-49.87626879071429,0,0,0,0,4,0,0,1,2,7,1.4,7,0,14,7,7.230297544811037,MEDIO
19907460,-22.97245610511111,-49.882717457984846,0,0,0,0,1,0,1,4,2,7,1.5,7,0,15,7,7.217534044364584,MEDIO
19907545,-22.968333113425928,-49.88424139814814,0,0,0,1,3,0,0,3,1,3,1.1,3,0,11,3,7.177069150230636,MEDIO
19907231,-22.97258083046856,-49.87518525904304,0,0,0,0,4,0,3,1,5,7,2.0,7,0,20,7,7.171927212250012,MEDIO
19911000,-22.97295362475,-49.87137702525,1,0,0,0,2,0,0,0,0,11,1.4,11,0,14,10,7.164659325222601,MEDIO
19900150,-22.95206702523148,-49.78613245532408,0,0,0,0,1,0,0,1,0,6,0.8,6,0,8,6,7.163665969092108,MEDIO
19904556,-22.744750148888887,-49.67264291333333,0,0,0,0,0,0,0,0,4,3,0.7,4,0,7,3,7.145788835621715,MEDIO
19914010,-22.9749247425,-49.85940935077778,0,0,0,2,1,0,1,0,0,4,0.8,4,0,8,4,7.125603799880992,MEDIO
19910660,-22.96851053047619,-49.89565675214286,0,0,0,0,0,0,1,3,7,4,1.5,7,0,15,4,7.103774424984295,MEDIO
19915682,-22.9554509125,-49.864389602500005,0,0,0,0,2,0,0,0,0,5,0.7,5,0,7,5,7.067663973311937,MEDIO
19911440,-22.962858729074075,-49.87246267481481,0,0,0,1,1,0,3,1,0,4,1.0,4,0,10,4,7.0605857031578125,MEDIO
19910070,-22.963012336666665,-49.886114045,0,0,0,0,0,0,1,3,3,3,1.0,3,0,10,3,7.027988612382615,MEDIO
19905260,-22.99248309481293,-49.88417914906462,1,0,0,0,1,0,2,2,4,7,1.7,7,0,17,6,7.004244770709192,MEDIO
19908100,-22.974784525,-49.90685865,0,0,0,2,1,0,0,2,4,0,0.9,4,0,9,0,6.990912840365127,MEDIO
19901734,-22.968593393416665,-49.90150222066666,1,0,0,0,0,0,0,3,10,4,1.8,10,0,18,3,6.979200855137606,MEDIO
19905430,-23.00386525190476,-49.87938014904762,0,0,0,2,1,0,2,1,1,4,1.1,4,0,11,4,6.973445939297562,MEDIO
19900002,-22.983306287507,-49.87064453243698,0,0,0,1,2,0,1,1,4,5,1.4,5,0,14,5,6.941905558878716,MEDIO
19905460,-23.003815551400105,-49.8656636128442,0,0,0,0,0,0,3,2,8,8,2.1,8,0,21,8,6.938336073282699,MEDIO
19915001,-22.964639307189543,-49.86374187712418,0,0,0,1,4,0,3,0,2,4,1.4,4,0,14,4,6.9126728739584,MEDIO
19910700,-22.968837698,-49.894313078,0,0,0,0,0,0,1,1,10,2,1.4,10,0,14,2,6.8934458522835484,MEDIO
19911791,-22.97411131579159,-49.85850234777984,0,0,0,1,4,0,4,2,6,6,2.3,6,0,23,6,6.891625908276183,MEDIO
19904639,-23.0175741,-49.8868503,0,0,0,0,0,0,1,2,6,9,1.8,9,0,18,9,6.869854956306881,MEDIO
19913175,-22.980953234090908,-49.85581015386364,0,0,0,0,4,1,1,0,2,6,1.4,6,0,14,6,6.816603768333152,MEDIO
19913116,-22.98422297590909,-49.85274315636364,0,0,0,0,0,0,1,1,4,7,1.3,7,0,13,7,6.798407654699986,MEDIO
19915731,-22.9538151,-49.8568864,0,0,0,0,1,0,0,0,4,3,0.8,4,0,8,3,6.790863564323445,MEDIO
19907240,-22.975839623174604,-49.87549519730158,1,0,0,1,0,0,0,1,4,6,1.3,6,0,13,5,6.773794639926564,MEDIO
19900030,-22.992050445604395,-49.79902709304029,0,0,0,0,1,1,1,2,5,3,1.3,5,0,13,3,6.732949975774318,MEDIO
19904716,-22.977217316666664,-49.85894332857143,0,0,0,0,0,0,0,0,3,8,1.1,8,0,11,8,6.700198570077191,MEDIO
19902360,-22.987061249107143,-49.868525,0,0,0,1,0,0,1,0,4,10,1.6,10,0,16,10,6.699928271060344,MEDIO
19911140,-22.96581138522644,-49.87003751360723,0,0,0,0,2,0,0,0,2,6,1.0,6,0,10,6,6.690687114234606,MEDIO
